Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,407.4,413.0,405.0,407.0,406.05,18471.0,75.46
2018-03-12,414.95,416.0,402.0,405.65,405.6,16371.0,66.82
2018-03-09,406.6,416.7,403.15,409.0,407.65,25436.0,104.49
2018-03-08,402.2,410.0,397.05,407.5,404.45,22673.0,91.72
2018-03-07,413.0,413.15,398.0,398.0,399.65,25219.0,101.85
2018-03-06,428.9,431.0,409.95,410.0,414.2,22117.0,93.25
2018-03-05,426.6,431.0,422.0,424.0,424.9,14928.0,63.6
2018-03-01,428.45,437.65,427.05,427.4,428.45,19800.0,85.59
2018-02-28,425.0,435.75,424.0,431.0,430.0,36671.0,157.42
2018-02-27,432.85,437.0,426.15,437.0,433.15,17020.0,73.36
2018-02-26,429.9,436.8,425.6,429.0,429.25,28859.0,124.07
2018-02-23,429.9,438.9,423.0,427.0,425.7,34420.0,147.47
2018-02-22,436.5,438.85,425.2,427.9,427.95,21843.0,94.39
2018-02-21,441.9,451.0,435.0,436.9,437.7,36074.0,159.59
2018-02-20,438.95,444.0,432.7,435.0,435.2,8999.0,39.29
2018-02-19,443.0,446.75,430.0,439.4,435.95,15459.0,67.48
2018-02-16,441.9,447.75,434.0,437.9,436.7,28627.0,125.62
2018-02-15,458.2,464.0,440.0,441.8,441.9,30447.0,136.87
2018-02-14,464.9,471.6,456.0,457.0,461.2,48498.0,225.69
2018-02-12,449.9,464.4,449.8,461.0,461.35,61226.0,280.89
2018-02-09,418.4,449.85,418.0,442.75,443.2,49518.0,218.14
2018-02-08,418.35,445.4,418.35,438.5,433.4,48530.0,211.13
2018-02-07,410.0,422.75,410.0,418.0,415.35,26202.0,109.08
2018-02-06,402.15,408.1,390.0,405.0,403.6,31026.0,124.75
2018-02-05,416.5,421.95,400.25,413.5,414.55,36067.0,148.97
2018-02-02,444.5,445.45,416.0,418.0,419.15,43681.0,186.76
2018-02-01,452.15,456.5,440.1,447.0,447.55,23928.0,107.5
2018-01-31,443.2,453.25,441.0,450.0,450.7,34215.0,153.24
2018-01-30,460.0,461.45,444.0,445.0,446.75,38432.0,173.32
2018-01-29,451.5,478.0,451.5,460.0,460.8,150951.0,706.42
2018-01-25,453.9,459.0,449.0,450.8,451.4,25819.0,117.14
2018-01-24,460.4,463.8,446.1,451.0,450.95,53277.0,241.03
2018-01-23,463.9,468.55,458.1,458.35,459.65,31323.0,145.12
2018-01-22,461.05,469.0,459.8,461.0,461.05,38594.0,179.28
2018-01-19,449.95,474.0,448.65,463.0,463.4,139724.0,651.55
2018-01-18,468.8,474.0,440.0,445.6,446.9,51527.0,236.33
2018-01-17,475.0,476.9,462.05,466.0,466.45,43736.0,205.25
2018-01-16,477.0,483.95,466.0,475.0,475.35,75746.0,360.67
2018-01-15,481.0,486.95,476.15,477.85,477.85,49877.0,240.08
2018-01-12,482.45,489.95,477.0,477.35,477.95,57170.0,275.71
2018-01-11,480.35,495.0,477.25,479.7,482.85,175222.0,853.61
2018-01-10,483.5,487.95,476.0,478.0,477.85,60286.0,290.07
2018-01-09,480.1,489.0,477.9,481.0,480.05,72511.0,350.0
2018-01-08,480.4,494.0,480.4,482.55,483.5,68806.0,334.65
2018-01-05,479.4,494.0,472.0,480.4,480.85,182711.0,888.27
2018-01-04,480.8,486.95,476.25,477.0,477.65,46596.0,224.04
2018-01-03,473.0,485.0,473.0,477.8,478.15,86064.0,412.73
2018-01-02,484.0,485.5,469.55,470.4,471.55,51644.0,245.1
2018-01-01,487.9,492.0,477.95,479.8,479.8,38102.0,184.47
2017-12-29,491.0,493.9,482.55,484.0,484.75,52386.0,255.73
2017-12-28,493.0,498.9,485.95,487.55,487.5,57882.0,283.91
2017-12-27,485.65,513.0,485.6,491.5,492.25,564918.0,2832.05
2017-12-26,483.0,490.3,478.2,478.8,480.05,53314.0,258.22
2017-12-22,481.0,493.0,480.5,485.0,483.9,100949.0,491.6
2017-12-21,491.65,494.0,475.0,479.0,480.5,90040.0,438.49
2017-12-20,490.0,494.0,481.9,487.0,487.25,147402.0,719.67
2017-12-19,481.5,498.0,481.45,486.3,487.15,261488.0,1282.7
2017-12-18,475.6,491.05,455.15,481.5,476.85,144985.0,695.42
2017-12-15,475.5,499.4,475.5,483.4,483.9,361997.0,1771.41
2017-12-14,480.75,493.0,468.35,473.65,471.0,104047.0,495.87
2017-12-13,479.1,501.4,464.4,480.0,476.3,376537.0,1837.34
2017-12-12,451.0,509.0,449.85,479.0,478.65,1489811.0,7331.83
2017-12-11,453.4,458.0,449.05,450.0,449.6,53074.0,239.99
2017-12-08,463.0,466.5,447.0,447.2,449.35,84393.0,385.08
2017-12-07,457.35,470.0,448.6,458.0,459.25,133738.0,615.68
2017-12-06,464.7,473.95,453.05,457.0,456.0,127014.0,587.68
2017-12-05,481.3,483.4,460.55,467.9,464.95,192592.0,908.95
2017-12-04,471.0,499.95,462.0,479.3,479.05,1136728.0,5503.54
2017-12-01,433.65,492.0,432.0,462.95,460.2,1570327.0,7404.26
2017-11-30,433.65,441.8,430.0,432.0,430.6,19630.0,85.29
2017-11-29,435.0,444.0,431.25,433.3,434.25,29319.0,128.28
2017-11-28,441.0,441.0,432.0,432.2,432.4,19198.0,83.54
2017-11-27,437.2,442.9,435.5,436.8,437.7,20229.0,88.9
2017-11-24,443.4,448.9,440.0,442.0,441.85,24738.0,109.96
2017-11-23,446.05,450.9,442.25,443.4,443.15,56584.0,252.95
2017-11-22,444.8,450.8,440.5,444.55,445.7,81956.0,365.98
2017-11-21,440.0,449.8,438.05,440.5,441.35,68732.0,305.25
2017-11-20,428.5,443.95,422.0,438.0,436.4,84812.0,369.79
2017-11-17,429.55,435.0,425.0,425.5,425.9,31970.0,137.29
2017-11-16,421.2,432.0,421.2,425.35,425.05,31343.0,133.51
2017-11-15,429.0,435.0,419.0,419.8,419.7,55912.0,238.09
2017-11-14,438.3,442.3,427.25,429.2,429.35,46686.0,203.08
2017-11-13,450.0,450.0,435.0,435.6,436.55,47441.0,208.58
2017-11-10,448.1,460.0,435.0,443.0,440.9,80055.0,359.8
2017-11-09,463.4,467.95,444.0,447.5,448.55,90996.0,415.79
2017-11-08,449.1,472.0,443.35,461.95,459.15,245506.0,1135.26
2017-11-07,440.8,469.5,430.0,448.0,448.4,339927.0,1545.26
2017-11-06,440.0,450.75,436.0,441.95,440.75,59802.0,265.5
2017-11-03,448.85,453.0,438.0,441.1,440.05,53162.0,236.5
2017-11-02,433.8,447.0,430.05,446.0,444.9,154649.0,683.57
2017-11-01,428.0,447.8,426.05,432.0,431.25,193972.0,852.54
2017-10-31,426.5,432.9,422.0,424.0,424.8,23252.0,99.36
2017-10-30,426.0,433.0,425.0,426.9,426.35,18480.0,79.21
2017-10-27,430.0,434.95,421.6,424.8,425.45,34047.0,146.25
