Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,384.95,388.7,379.45,387.6,381.5,255159.0,980.34
2018-03-12,386.15,389.9,371.6,383.05,383.75,312251.0,1193.01
2018-03-09,385.9,386.6,378.4,379.15,381.45,227805.0,871.74
2018-03-08,390.6,394.9,379.55,382.75,383.0,86899.0,333.35
2018-03-07,394.9,399.95,387.0,388.1,389.95,140438.0,549.64
2018-03-06,397.0,399.1,390.05,390.1,391.25,34504.0,136.21
2018-03-05,399.0,400.1,391.65,395.95,394.95,71281.0,281.96
2018-03-01,400.95,402.7,395.35,400.0,398.0,65083.0,260.12
2018-02-28,399.0,403.85,393.0,400.0,400.9,105335.0,418.99
2018-02-27,404.9,404.9,398.0,399.5,399.65,54878.0,219.48
2018-02-26,415.0,415.0,395.0,399.55,399.35,116264.0,467.66
2018-02-23,393.8,404.05,392.85,400.0,399.35,158735.0,634.7
2018-02-22,393.2,400.0,387.6,390.5,392.0,48292.0,190.75
2018-02-21,393.15,402.0,393.0,395.0,395.6,49008.0,193.95
2018-02-20,400.0,400.0,392.0,396.0,396.05,92954.0,368.34
2018-02-19,396.4,401.95,384.55,395.0,395.05,93119.0,364.08
2018-02-16,405.0,405.0,385.0,396.0,397.95,124628.0,488.72
2018-02-15,403.0,405.55,397.0,399.0,398.6,81581.0,327.01
2018-02-14,412.5,414.25,392.0,393.45,394.95,121644.0,489.25
2018-02-12,403.1,408.75,396.85,400.0,400.65,285636.0,1142.58
2018-02-09,393.0,404.0,392.0,395.35,395.85,99459.0,395.59
2018-02-08,407.65,412.8,405.0,406.0,406.25,80019.0,327.32
2018-02-07,404.0,418.0,396.3,404.0,403.2,204802.0,830.03
2018-02-06,370.0,404.0,369.0,403.0,399.05,252426.0,980.94
2018-02-05,370.0,394.0,370.0,388.45,389.35,106238.0,405.2
2018-02-02,395.0,408.95,365.05,390.0,390.75,334301.0,1299.85
2018-02-01,413.35,416.95,391.25,410.25,409.9,459362.0,1883.36
2018-01-31,410.95,412.5,400.6,411.0,407.5,358722.0,1455.86
2018-01-30,418.0,420.3,405.8,411.25,411.7,118613.0,490.66
2018-01-29,410.95,420.0,408.85,414.95,414.9,130534.0,543.85
2018-01-25,407.1,420.35,404.4,406.0,410.9,279348.0,1153.09
2018-01-24,404.8,413.5,401.4,412.5,411.9,147753.0,603.47
2018-01-23,404.5,414.7,403.0,404.6,406.2,341685.0,1389.25
2018-01-22,411.3,413.0,402.0,407.0,404.5,453887.0,1846.34
2018-01-19,411.35,415.0,404.0,410.1,411.3,119068.0,486.72
