Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,109.35,116.5,106.7,115.3,115.25,681612.0,754.93
2018-03-12,111.45,111.95,108.0,109.25,109.2,100243.0,109.81
2018-03-09,112.0,112.9,106.2,112.2,109.35,349581.0,380.65
2018-03-08,112.9,112.9,105.15,112.45,111.6,188867.0,208.34
2018-03-07,110.25,114.0,107.85,110.6,111.15,263090.0,291.75
2018-03-06,106.05,114.35,106.05,110.65,111.1,852600.0,953.2
2018-03-05,107.0,108.85,104.6,105.15,105.1,102582.0,108.89
2018-03-01,109.95,111.8,107.2,108.0,107.85,142441.0,156.02
2018-02-28,107.05,112.65,104.6,110.0,110.05,529534.0,574.35
2018-02-27,113.35,114.0,107.0,107.45,108.4,296166.0,326.09
2018-02-26,114.75,116.5,112.2,112.5,113.15,338030.0,387.19
2018-02-23,112.85,116.5,110.85,114.0,113.75,1634459.0,1845.07
2018-02-22,108.9,116.4,108.05,111.4,111.8,798861.0,900.26
2018-02-21,103.3,115.05,102.5,111.05,111.3,4919093.0,5506.83
2018-02-20,103.05,104.5,102.0,103.0,102.4,70227.0,72.53
2018-02-19,106.05,106.05,101.55,102.5,102.55,95875.0,99.21
2018-02-16,109.0,109.7,105.3,105.45,105.75,149279.0,159.93
2018-02-15,110.95,112.35,108.25,108.55,108.7,91585.0,100.85
2018-02-14,113.4,114.8,109.9,110.0,110.4,152852.0,170.64
2018-02-12,112.0,118.55,111.0,113.35,113.55,340359.0,393.7
2018-02-09,109.0,112.4,107.1,111.5,111.4,60390.0,67.12
2018-02-08,111.35,116.9,111.35,112.8,112.2,153739.0,175.02
2018-02-07,112.3,117.0,110.5,111.0,111.3,62017.0,69.61
2018-02-06,110.0,113.85,105.2,109.5,110.2,105408.0,116.55
2018-02-05,116.0,118.2,111.0,114.8,114.85,105696.0,121.63
2018-02-02,121.0,122.2,116.0,116.8,117.5,127062.0,150.09
2018-02-01,119.1,128.0,119.1,122.8,122.9,267012.0,329.76
2018-01-31,121.5,121.5,118.3,118.5,119.1,65737.0,78.62
2018-01-30,122.9,122.9,120.1,120.5,120.55,61860.0,74.66
2018-01-29,121.0,126.4,120.6,123.0,121.9,293818.0,364.11
2018-01-25,121.15,123.3,120.3,120.3,120.55,58189.0,70.56
2018-01-24,121.25,121.9,120.0,120.2,120.45,77535.0,93.62
2018-01-23,122.7,123.55,120.0,120.8,120.65,112965.0,137.08
2018-01-22,123.2,123.55,121.1,122.25,122.0,149121.0,181.96
2018-01-19,123.1,124.8,121.75,122.0,122.35,151676.0,186.05
2018-01-18,129.0,129.35,121.75,122.9,122.65,145814.0,182.33
2018-01-17,128.0,129.15,125.0,128.0,127.8,141724.0,180.71
2018-01-16,128.65,131.4,126.0,127.6,127.5,519621.0,672.42
2018-01-15,130.85,131.05,128.1,128.6,128.85,110111.0,142.79
2018-01-12,129.8,131.4,127.0,128.75,129.4,179309.0,231.84
2018-01-11,129.25,131.9,128.1,129.0,129.0,209718.0,272.47
2018-01-10,130.0,130.2,127.1,128.9,128.85,104689.0,134.73
2018-01-09,130.0,130.8,128.4,129.0,129.2,119299.0,154.39
2018-01-08,129.6,131.8,129.0,130.0,130.05,266807.0,347.84
2018-01-05,130.35,132.8,128.9,130.4,129.35,255413.0,333.22
2018-01-04,129.8,133.0,128.85,129.0,129.45,282276.0,368.41
2018-01-03,129.8,131.7,127.8,129.95,129.65,201708.0,261.86
2018-01-02,132.65,134.0,128.6,129.0,129.0,257427.0,335.93
2018-01-01,127.1,134.4,126.65,131.9,131.55,551612.0,728.31
2017-12-29,127.5,128.5,125.8,126.25,126.35,125833.0,159.78
2017-12-28,128.0,128.9,126.9,127.7,127.45,85017.0,108.68
2017-12-27,127.0,131.8,126.55,127.3,127.1,415012.0,537.83
2017-12-26,126.25,127.9,125.0,126.65,126.75,93442.0,118.24
2017-12-22,128.0,128.9,125.7,126.05,126.35,69566.0,88.4
2017-12-21,127.0,129.55,126.15,128.0,127.15,117786.0,150.47
2017-12-20,126.0,128.9,125.55,126.8,126.75,188964.0,240.75
2017-12-19,125.9,127.0,124.6,125.85,125.55,144667.0,182.03
2017-12-18,123.8,126.45,120.6,123.0,123.35,124488.0,154.31
2017-12-15,123.0,127.0,122.5,123.15,123.4,168088.0,209.79
2017-12-14,122.0,123.85,120.65,121.75,121.9,48218.0,58.73
2017-12-13,123.85,124.4,120.5,121.0,121.05,76579.0,93.77
2017-12-12,125.15,125.45,122.6,123.0,122.9,60881.0,75.33
2017-12-11,124.9,127.5,124.0,125.0,125.3,86555.0,108.73
2017-12-08,124.05,127.8,123.9,124.0,124.3,138969.0,174.57
2017-12-07,123.55,126.65,122.9,123.45,123.75,129998.0,161.7
2017-12-06,123.95,125.3,122.05,122.05,122.7,50846.0,62.74
