Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,63.1,65.3,63.05,64.35,64.3,776236.0,499.23
2018-03-12,64.4,64.9,62.4,63.5,63.4,694114.0,439.91
2018-03-09,65.0,65.75,63.25,63.5,63.5,730942.0,470.59
2018-03-08,66.7,66.7,63.15,64.3,64.15,870494.0,560.57
2018-03-07,67.95,68.4,64.9,66.15,65.6,802787.0,530.03
2018-03-06,70.45,70.75,67.5,67.65,67.85,648851.0,447.66
2018-03-05,71.05,71.55,68.65,69.5,69.2,583160.0,408.2
2018-03-01,71.75,73.35,71.0,71.2,71.15,559776.0,401.9
2018-02-28,72.8,73.7,71.1,72.15,71.65,685006.0,494.85
2018-02-27,74.4,74.65,72.85,72.9,73.1,566687.0,418.37
2018-02-26,73.5,75.4,73.5,73.95,73.9,829801.0,616.94
2018-02-23,73.35,75.4,72.7,72.9,73.1,853415.0,628.22
2018-02-22,74.45,74.9,72.35,72.6,72.8,685160.0,502.92
2018-02-21,76.85,77.5,74.35,74.6,74.65,621879.0,469.39
2018-02-20,78.8,79.55,75.75,75.8,76.9,512531.0,398.77
2018-02-19,80.45,80.5,77.75,78.6,78.8,463033.0,364.36
2018-02-16,81.5,82.55,79.1,80.45,80.1,693983.0,560.89
2018-02-15,83.05,83.65,80.3,81.0,80.7,892833.0,730.21
2018-02-14,86.0,86.0,81.15,81.6,82.35,2020879.0,1698.38
2018-02-12,78.1,86.8,78.1,85.8,85.45,3405670.0,2843.89
2018-02-09,74.55,78.1,73.55,78.0,77.4,935022.0,712.53
2018-02-08,74.35,77.0,73.4,76.3,76.25,900576.0,681.5
2018-02-07,72.4,75.4,72.1,75.2,74.2,1141401.0,839.82
2018-02-06,67.1,72.2,66.8,71.15,70.85,955604.0,667.93
2018-02-05,74.0,74.15,65.8,71.9,72.0,1210977.0,865.25
2018-02-02,78.05,78.95,74.25,74.7,74.65,952706.0,728.9
2018-02-01,81.85,81.85,79.1,80.5,79.7,908932.0,733.0
2018-01-31,80.0,82.3,79.1,81.15,81.05,896699.0,725.44
2018-01-30,79.45,83.8,77.55,80.45,80.3,1344699.0,1079.45
2018-01-29,82.55,82.85,79.05,79.25,79.3,940902.0,755.41
2018-01-25,83.8,84.7,81.9,81.95,82.4,996901.0,827.4
2018-01-24,88.6,88.6,82.45,83.0,83.1,1827095.0,1552.09
2018-01-23,90.3,90.75,87.2,88.3,88.05,1558036.0,1376.33
2018-01-22,89.05,91.5,88.8,90.1,90.1,711377.0,639.69
2018-01-19,90.65,91.25,88.3,88.95,88.9,910244.0,816.63
2018-01-18,93.5,95.5,90.0,90.7,90.55,1080166.0,1001.74
2018-01-17,93.15,93.6,91.85,92.95,92.95,666656.0,619.34
2018-01-16,96.4,96.65,92.45,93.5,93.15,1227929.0,1160.32
2018-01-15,96.0,97.4,95.3,96.1,96.0,788207.0,758.31
2018-01-12,97.0,98.15,94.3,95.7,95.6,1157134.0,1114.72
2018-01-11,97.3,99.2,95.6,96.35,96.4,2300042.0,2249.01
2018-01-10,95.6,99.8,94.7,97.35,97.55,3787252.0,3691.35
2018-01-09,95.95,97.25,94.9,95.1,95.15,1194476.0,1144.55
2018-01-08,96.55,97.6,95.5,95.6,95.7,1035000.0,998.06
2018-01-05,97.1,99.0,96.0,96.1,96.25,1719588.0,1672.47
2018-01-04,98.0,98.7,96.0,96.8,96.5,1882384.0,1831.92
2018-01-03,94.45,97.85,93.9,96.15,96.05,2372906.0,2280.51
2018-01-02,94.95,95.2,93.1,93.85,93.8,612211.0,576.18
2018-01-01,94.8,96.4,93.7,94.2,94.2,1004745.0,954.99
2017-12-29,96.0,96.5,94.35,94.5,94.6,846113.0,806.63
2017-12-28,93.15,96.85,93.15,94.2,94.3,2204079.0,2100.63
2017-12-27,94.2,95.1,92.4,93.25,93.05,785879.0,737.44
2017-12-26,94.0,95.75,93.5,93.75,93.75,875189.0,826.21
2017-12-22,94.5,96.15,93.55,93.9,93.8,909389.0,861.82
2017-12-21,95.05,96.6,93.5,93.9,94.1,864186.0,821.4
2017-12-20,95.25,97.2,94.35,94.85,95.05,1109531.0,1063.67
2017-12-19,93.7,96.0,93.5,94.85,95.3,914698.0,867.44
2017-12-18,93.9,95.9,90.5,93.1,93.0,957460.0,896.76
2017-12-15,94.65,96.5,93.85,94.0,94.1,1190417.0,1132.44
2017-12-14,94.15,95.4,92.2,93.45,93.85,1514395.0,1417.52
2017-12-13,94.25,97.3,93.1,93.6,93.45,2180629.0,2079.39
2017-12-12,95.35,96.65,94.0,94.1,94.25,851037.0,810.16
2017-12-11,99.0,99.0,94.5,94.9,95.05,3145246.0,3036.67
2017-12-08,97.0,101.9,95.0,99.7,100.05,3798939.0,3782.58
2017-12-07,92.45,97.5,92.4,95.8,96.55,2309528.0,2218.0
2017-12-06,93.65,95.4,92.0,92.15,92.4,1026383.0,960.6
2017-12-05,97.85,97.85,94.0,94.6,94.45,1829556.0,1740.86
2017-12-04,91.9,101.35,89.5,99.0,98.25,4878935.0,4766.28
2017-12-01,93.3,94.4,90.6,91.65,91.1,910320.0,844.25
2017-11-30,95.2,95.7,93.0,93.25,93.3,734663.0,693.01
2017-11-29,95.7,97.1,94.25,95.8,96.05,980958.0,939.54
2017-11-28,94.7,97.2,94.0,95.25,95.3,1065871.0,1019.24
2017-11-27,95.0,95.4,93.25,94.1,94.25,754144.0,709.7
2017-11-24,92.8,99.95,92.1,95.55,95.6,4998763.0,4861.26
2017-11-23,92.6,93.7,91.65,92.35,92.55,530887.0,492.58
2017-11-22,92.95,94.3,90.55,92.0,92.1,748260.0,693.79
2017-11-21,93.1,94.45,92.6,92.85,93.2,835843.0,782.66
2017-11-20,90.25,94.0,89.2,92.3,92.5,1275499.0,1176.04
2017-11-17,91.7,92.75,88.8,89.0,89.15,688288.0,623.67
2017-11-16,89.3,91.8,88.1,91.0,90.5,1200330.0,1077.48
2017-11-15,90.7,91.8,88.5,88.6,88.7,862336.0,775.1
2017-11-14,91.45,93.0,90.05,90.25,90.4,918418.0,837.92
2017-11-13,95.1,95.1,91.0,91.1,91.45,745209.0,690.37
2017-11-10,96.45,96.45,93.8,94.15,94.4,788175.0,748.21
2017-11-09,97.3,98.5,95.1,96.2,96.65,984695.0,952.88
2017-11-08,102.05,102.15,95.6,97.0,96.6,1610085.0,1590.39
2017-11-07,107.0,108.0,101.0,102.0,101.5,2900008.0,3035.0
2017-11-06,103.85,108.15,100.25,103.0,103.55,4712655.0,4902.41
2017-11-03,108.7,110.7,104.3,108.7,109.15,3560292.0,3833.42
2017-11-02,103.0,113.4,101.2,108.2,107.95,13966510.0,15142.92
2017-11-01,92.95,104.8,92.7,102.8,103.2,10952552.0,11136.15
2017-10-31,94.2,94.4,92.0,92.2,92.3,577431.0,536.01
2017-10-30,96.35,97.0,93.3,93.5,93.95,921998.0,879.55
2017-10-27,94.45,97.6,93.5,95.8,95.9,1655649.0,1584.43
2017-10-26,93.25,96.4,92.0,94.1,94.15,1171883.0,1105.8
2017-10-25,98.8,99.95,92.1,93.05,92.9,3776424.0,3633.34
2017-10-24,89.55,96.65,88.9,96.4,96.1,3133785.0,2952.38
2017-10-23,90.1,90.75,89.0,89.15,89.2,307719.0,275.61
2017-10-19,90.95,91.75,89.7,90.1,90.25,220476.0,200.19
2017-10-18,88.9,92.7,88.35,90.8,90.9,1733299.0,1574.97
2017-10-17,88.45,90.45,88.1,88.7,88.95,727654.0,649.82
2017-10-16,89.45,89.8,87.7,87.9,88.0,454811.0,402.96
2017-10-13,89.85,90.45,88.7,89.0,89.0,432910.0,388.37
2017-10-12,88.15,90.3,87.75,89.35,89.55,762956.0,680.5
2017-10-11,91.3,91.6,87.05,87.7,87.7,1056998.0,946.13
2017-10-10,91.0,92.6,90.35,90.8,91.2,706496.0,646.74
2017-10-09,91.3,93.25,90.3,90.7,90.9,779180.0,712.72
2017-10-06,91.4,93.75,90.35,90.8,90.9,1671334.0,1533.29
2017-10-05,87.25,91.5,87.25,89.5,89.7,1056765.0,947.92
2017-10-04,88.35,89.75,87.15,87.9,87.6,761953.0,673.4
2017-10-03,91.0,91.15,87.5,87.85,88.0,744397.0,662.47
2017-09-29,92.5,94.25,89.1,89.7,89.6,1555998.0,1428.74
2017-09-28,92.85,94.2,90.15,90.75,90.95,1076414.0,988.29
2017-09-27,94.65,99.35,91.6,92.2,92.3,2549887.0,2437.39
2017-09-26,99.45,100.8,93.7,93.8,94.15,2290745.0,2209.7
2017-09-25,87.3,100.4,84.35,99.45,97.95,5611435.0,5321.22
2017-09-22,89.0,89.4,86.0,87.3,87.55,1303373.0,1141.52
2017-09-21,92.5,92.85,89.5,89.6,89.7,756517.0,685.94
2017-09-20,93.6,95.2,92.0,92.2,92.25,688569.0,643.35
2017-09-19,94.4,96.25,92.8,93.25,93.5,757801.0,713.01
2017-09-18,93.9,94.95,93.0,94.1,93.9,661484.0,621.67
2017-09-15,91.9,94.9,91.2,92.35,92.5,1256744.0,1168.17
2017-09-14,94.6,95.15,91.75,92.15,92.1,836025.0,777.99
2017-09-13,95.9,96.9,93.9,94.6,94.45,772128.0,734.22
2017-09-12,97.5,99.2,95.5,95.75,95.9,863785.0,838.2
2017-09-11,99.8,100.5,96.9,97.05,97.25,909064.0,898.93
2017-09-08,96.8,101.0,96.75,98.2,98.6,1729212.0,1711.14
2017-09-07,98.25,98.65,96.1,96.35,96.65,555799.0,541.03
2017-09-06,98.5,99.55,97.1,97.95,97.7,1244152.0,1223.48
2017-09-05,96.75,99.85,96.75,98.7,99.35,1380533.0,1362.82
2017-09-04,97.0,98.0,95.0,96.7,97.0,1357759.0,1313.13
2017-09-01,102.2,102.6,96.1,97.3,97.25,3198812.0,3167.87
2017-08-31,97.95,102.6,96.7,100.3,99.95,3693375.0,3683.44
2017-08-30,96.2,98.4,94.5,97.6,97.95,2008904.0,1948.43
2017-08-29,94.5,98.25,94.25,94.85,95.2,2334769.0,2247.17
2017-08-28,94.9,96.4,93.25,94.7,94.9,1188463.0,1128.39
2017-08-24,94.4,96.2,93.35,94.4,94.7,2228479.0,2112.26
2017-08-23,90.75,94.45,89.7,93.65,93.65,1882505.0,1740.68
2017-08-22,89.95,92.5,89.5,90.3,90.0,1211567.0,1100.68
2017-08-21,91.8,93.6,88.15,89.05,89.5,1449523.0,1325.23
2017-08-18,87.45,91.8,86.6,91.05,90.75,1314466.0,1176.1
2017-08-17,85.4,88.8,84.55,88.25,87.6,902708.0,784.58
2017-08-16,83.95,85.35,82.7,84.3,84.4,639131.0,537.35
2017-08-14,84.1,84.4,82.6,83.0,83.1,435573.0,363.51
2017-08-11,80.15,84.1,80.0,82.65,82.4,2338176.0,1921.9
2017-08-10,90.1,93.0,87.0,88.0,88.0,2549677.0,2301.42
2017-08-09,87.7,92.5,85.6,90.35,90.6,3370376.0,3053.72
2017-08-08,89.5,90.45,86.0,88.3,88.35,1127761.0,998.49
2017-08-07,90.9,92.0,87.5,89.0,88.75,2840605.0,2561.2
2017-08-04,84.85,89.65,84.65,89.55,89.1,2285287.0,2005.35
2017-08-03,84.9,87.2,83.5,85.45,86.05,1659379.0,1424.9
2017-08-02,82.5,85.35,81.75,84.85,84.65,1335623.0,1125.28
2017-08-01,83.25,83.4,81.6,81.6,82.3,290117.0,239.29
2017-07-31,83.0,84.5,82.5,82.7,82.8,623040.0,518.63
2017-07-28,82.75,83.3,81.5,82.05,82.25,383139.0,315.77
2017-07-27,84.5,86.0,82.25,83.15,83.25,1092686.0,917.47
2017-07-26,80.6,85.5,80.6,83.6,83.85,1476237.0,1233.79
2017-07-25,81.6,81.95,79.8,80.15,80.15,388655.0,313.26
2017-07-24,82.4,83.2,81.0,81.3,81.3,310012.0,254.3
2017-07-21,82.65,83.2,81.6,82.2,82.4,352945.0,291.06
2017-07-20,83.4,83.5,82.0,82.05,82.25,372502.0,308.54
2017-07-19,81.6,83.45,81.0,82.85,83.05,650054.0,535.6
2017-07-18,83.45,84.0,80.1,80.65,80.85,784375.0,645.44
2017-07-17,84.2,84.5,81.1,83.3,83.35,903579.0,748.82
2017-07-14,83.9,85.3,83.1,84.3,84.5,739439.0,622.96
2017-07-13,84.9,85.85,83.35,83.4,83.65,601477.0,509.03
2017-07-12,84.2,86.6,84.2,84.3,84.7,793338.0,676.23
2017-07-11,86.2,86.8,84.0,84.05,84.25,659623.0,563.11
2017-07-10,91.0,91.0,84.0,86.0,85.6,483743.0,414.72
2017-07-07,83.0,86.8,82.8,86.6,86.4,1648046.0,1405.94
