Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,1560.05,1584.95,1526.0,1549.8,1532.95,877.0,13.58
2018-03-12,1572.55,1619.95,1550.0,1550.0,1554.8,466.0,7.31
2018-03-09,1597.0,1599.95,1555.1,1595.0,1590.1,745.0,11.78
2018-03-08,1555.05,1590.0,1540.0,1590.0,1588.7,744.0,11.65
2018-03-07,1588.05,1594.0,1532.2,1555.0,1554.45,2060.0,31.92
2018-03-06,1576.8,1592.0,1550.0,1578.0,1576.15,8311.0,130.64
2018-03-05,1550.05,1590.75,1550.05,1584.25,1571.05,373.0,5.84
2018-03-01,1587.0,1598.9,1545.0,1580.0,1576.15,12219.0,192.76
2018-02-28,1554.4,1585.95,1540.35,1585.0,1583.25,7676.0,120.81
2018-02-27,1570.05,1590.0,1550.0,1554.25,1574.2,1793.0,28.14
2018-02-26,1600.35,1600.35,1570.05,1570.1,1570.3,710.0,11.23
2018-02-23,1625.0,1648.0,1570.0,1600.0,1600.05,9684.0,154.8
2018-02-22,1599.9,1599.9,1576.0,1599.0,1596.15,378.0,6.04
2018-02-21,1590.0,1603.9,1567.55,1600.0,1599.9,10337.0,165.33
2018-02-20,1637.0,1659.85,1597.0,1597.0,1602.15,318.0,5.16
2018-02-19,1590.0,1650.0,1554.0,1627.0,1627.8,2506.0,40.21
2018-02-16,1600.05,1630.0,1571.0,1600.0,1600.05,1018.0,16.35
2018-02-15,1592.0,1622.0,1584.0,1605.0,1613.6,1437.0,22.97
2018-02-14,1620.0,1630.0,1580.6,1583.1,1591.6,417.0,6.67
2018-02-12,1600.0,1625.0,1575.0,1625.0,1611.9,1145.0,18.31
2018-02-09,1580.0,1609.65,1570.0,1603.8,1589.85,617.0,9.83
2018-02-08,1620.0,1640.0,1591.15,1599.95,1599.9,1176.0,18.83
2018-02-07,1620.05,1645.0,1600.0,1610.0,1615.4,1572.0,25.29
2018-02-06,1600.0,1608.0,1502.35,1605.5,1598.75,3354.0,52.8
2018-02-05,1591.0,1653.45,1513.0,1635.0,1607.25,6698.0,104.45
2018-02-02,1588.0,1679.0,1532.35,1601.0,1603.0,2788.0,44.53
2018-02-01,1595.0,1609.0,1559.95,1608.0,1601.8,2183.0,34.75
2018-01-31,1585.85,1607.5,1569.95,1600.0,1592.35,2254.0,35.86
2018-01-30,1560.05,1604.0,1560.0,1595.0,1597.45,1929.0,30.49
2018-01-29,1603.15,1606.2,1571.35,1604.4,1598.05,1670.0,26.6
2018-01-25,1586.0,1614.4,1565.0,1608.0,1602.25,1129.0,18.02
2018-01-24,1561.0,1600.0,1560.1,1592.6,1588.55,2401.0,37.97
2018-01-23,1569.0,1589.0,1555.55,1576.3,1577.15,2913.0,45.7
2018-01-22,1560.2,1613.95,1540.0,1588.5,1585.65,1994.0,31.2
2018-01-19,1552.15,1599.0,1551.0,1594.7,1571.15,1835.0,28.84
2018-01-18,1634.4,1642.0,1569.9,1585.0,1583.7,4902.0,78.44
2018-01-17,1630.9,1660.0,1590.0,1639.9,1632.8,1621.0,26.43
2018-01-16,1693.6,1694.95,1620.0,1640.9,1630.9,46487.0,776.2
2018-01-15,1640.0,1700.0,1640.0,1700.0,1683.65,1725.0,28.81
2018-01-12,1694.95,1695.0,1650.0,1650.0,1667.85,3318.0,55.59
2018-01-11,1686.0,1732.3,1671.0,1685.0,1680.7,3637.0,61.9
2018-01-10,1660.15,1709.95,1660.15,1683.55,1693.8,2072.0,35.16
2018-01-09,1685.55,1701.7,1681.2,1681.6,1683.4,1380.0,23.26
2018-01-08,1720.0,1720.0,1680.0,1695.0,1699.05,4822.0,82.01
2018-01-05,1702.25,1729.95,1691.25,1704.1,1720.95,44375.0,763.27
2018-01-04,1698.0,1709.95,1670.0,1698.0,1696.75,1433.0,24.26
2018-01-03,1703.05,1723.0,1682.0,1690.0,1688.25,23982.0,405.25
2018-01-02,1711.55,1725.0,1695.55,1696.0,1704.35,2082.0,35.45
2018-01-01,1749.9,1749.9,1705.0,1710.1,1715.55,924.0,15.94
2017-12-29,1695.05,1775.0,1692.05,1726.0,1737.3,5615.0,97.01
2017-12-28,1714.45,1725.0,1680.0,1710.0,1691.7,1199.0,20.39
2017-12-27,1775.0,1780.0,1704.05,1718.0,1711.3,7426.0,129.14
2017-12-26,1694.7,1745.5,1670.0,1745.5,1735.55,4155.0,71.14
2017-12-22,1715.0,1715.0,1656.0,1657.65,1670.45,57215.0,969.66
2017-12-21,1700.0,1714.0,1675.55,1680.0,1682.5,1350.0,22.86
2017-12-20,1701.1,1716.0,1680.0,1680.0,1691.65,32025.0,544.42
2017-12-19,1707.0,1715.0,1690.0,1690.0,1699.65,1700.0,28.92
2017-12-18,1663.85,1721.05,1660.0,1691.0,1696.25,1451.0,24.64
2017-12-15,1726.45,1738.05,1690.0,1700.0,1704.0,1282.0,21.94
2017-12-14,1734.95,1754.0,1696.55,1715.0,1720.1,2593.0,44.81
2017-12-13,1760.9,1762.45,1705.6,1718.0,1724.7,547.0,9.47
2017-12-12,1755.0,1764.9,1730.0,1743.0,1744.75,9516.0,166.76
2017-12-11,1740.0,1780.0,1740.0,1744.0,1752.3,2085.0,36.78
2017-12-08,1745.0,1773.0,1745.0,1750.0,1753.65,7675.0,135.12
2017-12-07,1770.0,1775.0,1740.0,1749.9,1749.55,9616.0,168.65
2017-12-06,1783.95,1800.0,1750.0,1775.05,1764.4,2506.0,44.44
2017-12-05,1690.0,1800.0,1690.0,1765.05,1768.65,5327.0,94.4
2017-12-04,1800.0,1800.0,1700.0,1700.0,1714.85,1292.0,22.46
2017-12-01,1784.0,1834.0,1740.1,1760.0,1756.5,4523.0,80.27
2017-11-30,1803.45,1803.45,1761.05,1792.0,1786.4,1233.0,22.02
2017-11-29,1735.55,1814.0,1735.55,1790.0,1794.45,4961.0,88.33
2017-11-28,1780.65,1845.0,1751.05,1755.0,1759.75,4898.0,86.97
