Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,378.3,387.7,372.0,382.8,382.05,99528.0,378.8
2018-03-12,386.0,388.75,372.4,376.5,376.05,10504.0,39.97
2018-03-09,384.8,390.0,381.0,390.0,385.2,5839.0,22.52
2018-03-08,383.25,387.0,374.5,385.0,384.25,9752.0,37.04
2018-03-07,385.0,388.0,375.15,378.0,377.65,9636.0,36.64
2018-03-06,395.85,395.85,380.05,382.0,382.95,6879.0,26.61
2018-03-05,396.15,399.0,388.6,392.45,390.05,15175.0,59.32
2018-03-01,396.8,408.3,396.0,399.0,398.4,10698.0,43.05
2018-02-28,403.95,405.55,394.5,400.0,400.15,10907.0,43.64
2018-02-27,417.8,417.8,403.2,408.0,406.65,16010.0,65.61
2018-02-26,399.8,454.0,393.15,411.05,416.4,168857.0,727.72
2018-02-23,393.0,399.9,388.1,398.05,395.85,4936.0,19.45
2018-02-22,386.45,393.95,386.0,389.45,387.3,4809.0,18.71
2018-02-21,392.0,398.0,381.25,393.0,392.0,9892.0,38.46
2018-02-20,392.0,395.0,387.8,391.95,391.05,2554.0,9.99
2018-02-19,395.0,399.0,380.0,398.0,391.8,16304.0,63.11
2018-02-16,402.9,408.0,391.05,395.0,395.6,8435.0,33.48
2018-02-15,391.25,401.0,391.25,399.9,398.2,11047.0,44.07
2018-02-14,400.05,401.05,391.0,391.0,393.4,9037.0,35.8
2018-02-12,386.35,400.05,386.35,391.15,394.15,36070.0,142.68
2018-02-09,395.2,401.95,379.5,381.05,382.9,390677.0,1547.07
2018-02-08,397.45,400.0,390.0,396.9,395.2,15134.0,59.85
2018-02-07,406.95,411.95,379.0,393.0,391.65,48487.0,189.16
2018-02-06,409.0,409.0,390.0,401.0,400.95,25277.0,100.22
2018-02-05,405.0,418.85,405.0,416.25,413.8,10629.0,43.75
2018-02-02,439.0,439.0,415.0,420.8,417.65,15804.0,67.21
2018-02-01,439.0,458.9,434.0,438.8,437.3,22737.0,101.05
2018-01-31,430.95,444.9,422.1,444.0,436.8,26938.0,116.58
2018-01-30,430.0,437.95,429.0,430.95,430.15,17146.0,74.12
2018-01-29,440.0,443.3,434.0,434.0,435.6,19759.0,86.71
2018-01-25,456.0,462.0,447.2,449.95,451.9,15811.0,72.09
