Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,447.0,454.8,439.65,446.5,446.7,29576.0,132.03
2018-03-12,452.0,469.0,441.9,446.75,447.0,73696.0,334.44
2018-03-09,409.5,456.4,408.3,450.25,445.85,184582.0,810.4
2018-03-08,415.0,415.55,400.0,406.8,407.05,24682.0,100.2
2018-03-07,415.25,419.8,403.0,404.0,405.7,76472.0,313.37
2018-03-06,418.0,422.7,415.8,419.75,417.2,20824.0,87.27
2018-03-05,435.05,435.1,402.5,418.0,409.05,39672.0,165.71
2018-03-01,437.15,448.9,432.5,435.55,435.7,24281.0,106.08
2018-02-28,436.4,441.7,430.05,437.0,437.15,25491.0,111.04
2018-02-27,460.15,463.0,435.0,436.7,438.05,43598.0,193.91
2018-02-26,455.5,464.8,451.2,458.0,457.6,18325.0,83.96
2018-02-23,440.0,456.1,440.0,452.0,450.35,33571.0,150.83
2018-02-22,456.55,461.0,439.0,443.95,443.05,57772.0,256.63
2018-02-21,465.0,466.65,453.2,458.0,456.4,39778.0,182.98
2018-02-20,471.75,471.75,459.2,461.0,461.7,20575.0,95.41
2018-02-19,482.0,483.0,466.0,468.5,467.45,20807.0,98.27
2018-02-16,479.0,486.4,476.0,478.5,477.6,20526.0,98.54
2018-02-15,484.9,496.8,475.0,476.4,476.2,125438.0,605.21
2018-02-14,497.0,511.0,475.1,480.0,480.95,222193.0,1095.78
2018-02-12,520.05,522.95,505.0,505.95,508.75,43071.0,221.69
2018-02-09,497.0,522.95,497.0,519.0,520.15,14703.0,75.93
2018-02-08,521.0,530.0,505.0,529.0,514.5,49545.0,253.86
2018-02-07,531.65,531.65,500.0,506.65,511.1,21818.0,111.34
2018-02-06,504.0,522.0,498.25,518.0,518.75,20149.0,103.56
2018-02-05,531.0,535.85,515.0,520.0,518.95,22423.0,117.97
2018-02-02,565.05,569.0,520.2,526.0,526.2,62916.0,340.81
2018-02-01,579.8,579.8,566.0,570.0,573.15,8538.0,48.66
2018-01-31,576.65,578.8,566.15,566.15,568.6,24715.0,141.22
2018-01-30,578.0,587.15,538.0,571.15,582.2,149114.0,832.0
2018-01-29,582.3,586.2,578.0,580.0,580.75,8219.0,47.86
2018-01-25,591.05,593.8,581.0,582.75,582.3,9265.0,54.1
2018-01-24,593.55,599.0,586.65,587.6,588.35,6670.0,39.42
2018-01-23,600.05,609.0,590.0,590.8,591.95,16009.0,95.44
2018-01-22,586.9,605.3,572.0,598.0,600.5,99541.0,587.9
2018-01-19,580.0,594.5,578.85,585.0,586.9,19268.0,112.85
2018-01-18,586.0,600.0,576.0,578.0,581.0,35278.0,206.41
2018-01-17,596.3,600.1,576.85,587.0,585.95,47231.0,276.58
2018-01-16,609.4,612.45,587.05,595.0,594.05,47951.0,285.78
2018-01-15,617.9,620.0,600.95,607.8,606.4,25707.0,156.12
2018-01-12,630.0,637.8,600.65,606.95,612.95,50809.0,317.18
2018-01-11,602.3,628.3,597.3,628.3,622.4,58182.0,356.55
2018-01-10,609.0,610.0,596.95,605.0,600.6,41876.0,252.33
2018-01-09,607.25,607.25,601.0,601.15,602.05,18410.0,111.0
2018-01-08,602.5,615.0,602.5,605.0,605.7,19438.0,118.14
2018-01-05,616.45,622.45,596.0,608.0,606.8,66102.0,400.31
2018-01-04,612.0,625.4,610.0,625.0,621.7,18735.0,115.81
2018-01-03,617.1,617.1,610.15,610.25,610.4,31895.0,195.44
2018-01-02,615.0,624.0,612.0,615.0,614.7,5653.0,34.84
2018-01-01,624.4,624.4,613.15,613.25,615.3,8595.0,53.15
2017-12-29,611.0,620.8,597.6,618.0,619.1,23647.0,145.94
2017-12-28,605.0,612.0,602.0,610.7,610.45,17916.0,108.99
2017-12-27,614.05,614.1,591.7,602.7,600.75,19846.0,119.73
2017-12-26,600.5,612.0,600.5,609.0,605.55,13332.0,81.05
2017-12-22,613.0,617.95,600.0,601.95,603.1,37876.0,229.37
2017-12-21,620.0,626.4,608.0,614.85,613.85,31958.0,196.04
2017-12-20,621.5,626.8,618.0,618.9,619.95,10627.0,66.06
2017-12-19,630.0,630.0,619.3,620.6,620.05,15874.0,98.68
2017-12-18,634.4,634.75,621.0,627.9,623.5,17054.0,106.71
2017-12-15,626.4,639.4,626.4,631.0,630.65,10628.0,67.35
2017-12-14,628.5,634.75,621.4,625.55,623.5,8713.0,54.34
2017-12-13,640.8,645.0,625.2,626.2,628.95,16803.0,106.67
2017-12-12,632.0,645.0,632.0,638.0,638.35,48257.0,309.07
2017-12-11,622.35,625.95,616.25,622.5,623.95,13208.0,82.11
2017-12-08,621.6,629.8,601.7,624.0,624.25,88865.0,543.19
2017-12-07,612.8,620.0,606.6,620.0,618.35,20099.0,123.22
2017-12-06,610.0,619.0,596.25,603.0,609.0,224811.0,1365.97
2017-12-05,637.5,644.6,631.95,640.0,638.0,7162.0,45.63
2017-12-04,648.55,654.8,631.0,635.0,636.7,10312.0,66.13
2017-12-01,645.0,659.9,640.55,647.1,648.25,26163.0,170.06
2017-11-30,647.5,648.95,640.0,642.0,643.2,15290.0,98.31
2017-11-29,655.65,656.0,642.2,645.05,646.9,18616.0,120.6
2017-11-28,651.1,661.45,646.2,659.0,659.65,23190.0,151.82
2017-11-27,659.2,661.4,645.0,654.05,653.95,9618.0,62.78
2017-11-24,662.0,688.0,653.6,654.75,655.3,53497.0,356.95
2017-11-23,644.35,674.0,643.45,666.0,667.0,33212.0,218.86
2017-11-22,645.0,648.0,632.2,648.0,640.5,28396.0,180.66
2017-11-21,624.0,646.4,620.0,644.4,643.75,32061.0,203.95
2017-11-20,622.9,627.75,612.0,620.0,617.35,26899.0,166.62
2017-11-17,626.8,630.4,618.0,618.05,620.1,15761.0,98.42
2017-11-16,625.3,631.8,611.3,617.0,617.5,21569.0,133.79
2017-11-15,641.0,641.1,608.2,625.3,621.9,32900.0,205.43
2017-11-14,655.0,659.2,636.0,638.5,639.3,19951.0,129.44
2017-11-13,667.5,676.1,640.0,646.0,656.6,83066.0,550.47
2017-11-10,647.45,670.0,647.4,667.0,667.25,22344.0,148.38
2017-11-09,649.2,660.9,649.2,651.0,651.1,10241.0,67.05
2017-11-08,657.0,660.8,648.0,648.0,649.85,13407.0,87.47
2017-11-07,666.2,671.95,652.0,659.15,656.05,18287.0,120.69
2017-11-06,672.0,673.8,665.0,671.15,669.25,13751.0,92.05
2017-11-03,670.05,675.0,663.2,665.0,665.85,13818.0,92.31
2017-11-02,672.8,677.9,662.6,674.0,673.65,17888.0,120.13
2017-11-01,676.0,680.0,668.0,669.0,672.5,17007.0,114.46
2017-10-31,670.85,681.4,666.3,676.0,677.1,15783.0,106.58
2017-10-30,658.5,682.8,655.3,673.95,673.6,33350.0,224.17
2017-10-27,662.3,668.55,648.7,662.0,658.5,19284.0,126.96
2017-10-26,669.95,681.8,655.0,674.0,665.65,27906.0,185.92
2017-10-25,650.3,688.5,647.3,671.4,666.7,47547.0,319.76
2017-10-24,657.85,662.4,648.1,650.0,649.7,16656.0,108.69
2017-10-23,656.3,665.0,652.5,660.0,659.5,11864.0,78.21
2017-10-19,671.8,672.8,659.55,664.0,663.75,8239.0,54.86
2017-10-18,663.0,674.0,660.0,668.5,667.5,18156.0,121.31
2017-10-17,659.5,663.9,645.25,660.1,656.85,25931.0,169.39
2017-10-16,686.3,689.95,658.0,658.0,664.75,35539.0,238.9
2017-10-13,696.1,704.8,682.6,686.4,690.2,61066.0,422.01
2017-10-12,658.0,699.0,657.95,693.55,694.35,150414.0,1031.53
2017-10-11,649.8,669.9,648.3,664.95,658.8,96109.0,633.52
2017-10-10,652.8,659.8,643.45,645.2,645.35,37068.0,241.56
2017-10-09,640.0,658.2,640.0,650.25,649.35,101843.0,663.08
2017-10-06,629.95,633.3,610.1,628.9,626.0,228874.0,1427.64
2017-10-05,585.0,586.5,578.6,584.1,581.7,8602.0,50.13
2017-10-04,582.85,590.9,574.4,587.35,588.5,17062.0,100.1
2017-10-03,590.45,592.3,568.3,572.25,578.8,14475.0,84.37
2017-09-29,559.85,591.3,555.6,583.95,587.3,45969.0,267.75
2017-09-28,563.75,564.9,551.1,555.0,555.6,17203.0,96.01
2017-09-27,570.4,570.9,558.0,559.45,559.25,11596.0,65.24
2017-09-26,571.1,573.85,561.15,564.0,566.0,14889.0,84.44
2017-09-25,583.6,586.05,560.0,571.7,570.5,28892.0,164.13
2017-09-22,581.65,588.9,580.75,585.9,583.55,24880.0,145.32
2017-09-21,580.15,595.8,577.6,583.1,582.7,23610.0,138.61
2017-09-20,582.05,584.7,577.05,578.55,579.2,8702.0,50.48
2017-09-19,586.4,589.7,572.2,582.0,581.55,26297.0,152.28
2017-09-18,591.1,597.55,581.2,585.0,584.25,23222.0,136.94
2017-09-15,565.0,594.9,560.0,587.0,590.45,52830.0,308.24
2017-09-14,592.8,597.7,557.3,560.0,563.75,85339.0,489.3
2017-09-13,597.65,600.0,585.0,592.0,588.5,18697.0,111.28
2017-09-12,607.9,610.0,593.3,595.0,596.1,23674.0,142.31
2017-09-11,618.4,618.4,599.05,606.0,602.05,23199.0,140.95
2017-09-08,605.0,620.9,603.0,615.0,616.05,54850.0,335.25
2017-09-07,598.0,606.8,598.0,601.0,603.5,17547.0,105.5
2017-09-06,608.95,610.0,598.2,600.0,599.8,14504.0,87.52
2017-09-05,598.7,617.2,589.0,609.05,610.6,36632.0,222.07
2017-09-04,608.9,608.9,594.2,594.9,595.15,13527.0,80.91
2017-09-01,603.0,609.8,594.2,602.95,601.85,15049.0,90.69
2017-08-31,609.8,609.8,597.55,597.55,600.8,9734.0,58.64
2017-08-30,595.6,610.0,594.75,604.0,605.95,20319.0,122.84
2017-08-29,602.95,603.0,585.9,588.5,589.45,15197.0,89.92
2017-08-28,570.9,608.0,570.9,601.0,603.7,86933.0,517.53
2017-08-24,557.6,572.85,552.7,572.0,568.5,30232.0,170.2
2017-08-23,552.0,560.9,550.05,557.0,555.5,19191.0,106.65
2017-08-22,559.0,559.0,549.2,553.0,552.15,15095.0,83.52
2017-08-21,560.85,567.95,550.0,550.0,552.3,17253.0,95.92
2017-08-18,569.55,570.65,558.5,561.0,560.85,12965.0,72.99
2017-08-17,581.65,581.75,568.6,568.6,571.5,17731.0,101.5
2017-08-16,587.9,588.8,572.0,575.4,576.65,16683.0,96.82
2017-08-14,574.7,581.45,571.2,579.1,580.2,20839.0,120.54
2017-08-11,540.0,596.1,535.1,570.0,569.25,115521.0,656.77
2017-08-10,614.6,614.6,540.55,548.95,551.2,194382.0,1108.64
2017-08-09,634.55,634.55,614.35,614.35,617.15,42791.0,265.83
2017-08-08,643.35,643.4,630.05,635.0,633.75,24154.0,153.67
2017-08-07,646.4,646.4,637.85,638.7,640.3,18693.0,119.77
2017-08-04,650.55,654.7,635.65,642.6,646.45,22051.0,141.97
2017-08-03,655.0,655.0,643.6,653.0,650.2,40304.0,261.64
2017-08-02,664.0,667.9,650.0,652.6,652.95,28950.0,190.9
2017-08-01,670.0,672.0,662.1,663.1,663.75,32048.0,214.02
2017-07-31,656.8,675.0,638.0,661.0,660.35,131228.0,866.73
2017-07-28,656.4,656.4,643.05,643.05,645.15,10893.0,70.51
2017-07-27,668.0,668.0,637.0,652.0,650.5,45303.0,292.7
2017-07-26,675.0,679.75,654.1,658.35,656.5,46170.0,305.02
2017-07-25,676.2,684.35,672.6,677.35,679.5,9433.0,64.07
2017-07-24,686.0,688.95,672.2,676.4,679.6,9599.0,65.17
2017-07-21,683.3,692.0,677.75,688.0,685.8,10638.0,73.03
2017-07-20,690.0,690.0,677.0,677.0,680.8,11090.0,75.64
2017-07-19,699.5,699.9,685.0,685.0,688.9,15682.0,108.52
2017-07-18,690.5,695.0,684.0,684.0,689.0,15153.0,104.43
2017-07-17,694.0,699.95,687.2,691.0,690.0,19344.0,134.05
2017-07-14,701.65,704.3,686.15,695.0,692.05,23445.0,162.49
2017-07-13,690.0,706.9,690.0,702.1,703.6,29349.0,205.01
2017-07-12,687.2,696.0,676.6,696.0,690.25,20535.0,140.7
2017-07-11,679.3,708.8,652.25,691.0,686.8,95440.0,663.07
2017-07-10,660.0,680.5,660.0,679.3,679.0,20872.0,140.75
2017-07-07,654.0,665.8,652.3,662.05,661.3,29392.0,194.19
2017-07-06,641.95,665.0,635.1,655.0,653.6,28388.0,185.49
2017-07-05,638.1,645.7,635.0,642.5,641.5,9973.0,63.96
2017-07-04,650.15,654.0,630.0,638.15,641.25,20447.0,131.14
2017-07-03,659.25,661.65,646.85,653.5,653.65,19689.0,128.67
2017-06-30,626.0,670.0,622.3,649.3,652.35,83332.0,540.98
2017-06-29,634.0,635.0,613.9,625.25,625.75,22281.0,138.84
2017-06-28,630.0,636.05,619.2,632.0,625.5,24400.0,152.91
2017-06-27,629.05,636.75,611.1,630.95,630.25,27700.0,172.78
2017-06-23,645.05,655.0,625.2,630.0,628.9,35052.0,222.92
2017-06-22,645.1,655.0,643.15,644.0,645.0,9112.0,58.94
2017-06-21,647.0,652.0,642.0,644.15,645.0,21571.0,139.53
2017-06-20,657.8,658.35,640.0,647.0,647.45,23142.0,150.31
2017-06-19,653.4,657.7,651.45,655.8,654.35,14696.0,96.09
2017-06-16,651.65,655.0,648.0,651.6,651.0,12064.0,78.5
2017-06-15,656.0,656.0,650.0,650.0,650.5,6765.0,44.08
2017-06-14,656.6,659.05,650.3,651.5,651.05,11568.0,75.52
2017-06-13,660.05,664.5,654.6,655.2,656.8,9012.0,59.34
2017-06-12,667.3,671.95,654.2,659.0,659.3,20396.0,134.73
2017-06-09,666.0,675.8,662.0,666.6,668.25,21376.0,143.3
2017-06-08,651.75,670.8,645.0,665.15,666.1,39660.0,261.73
2017-06-07,645.0,652.75,643.0,649.0,648.9,21226.0,137.56
2017-06-06,640.05,647.0,638.6,645.0,645.1,62011.0,399.75
2017-06-05,652.7,652.7,639.6,640.0,641.05,16595.0,106.8
2017-06-02,651.35,653.8,646.05,651.0,648.1,18449.0,119.73
2017-06-01,650.95,655.8,641.0,651.9,648.15,21335.0,138.35
2017-05-31,650.95,655.8,630.0,651.0,647.9,57829.0,371.03
2017-05-30,653.0,653.05,625.8,640.5,643.8,59517.0,380.83
2017-05-29,695.95,698.95,635.0,640.6,652.2,117225.0,777.33
2017-05-26,692.0,698.3,682.0,684.9,684.25,36995.0,255.09
2017-05-25,698.95,698.95,685.2,690.0,688.3,23316.0,161.21
2017-05-24,699.5,703.0,690.1,690.3,690.9,27146.0,188.47
2017-05-23,709.6,709.8,690.0,694.05,696.0,23973.0,167.59
2017-05-22,709.1,716.8,704.1,705.15,707.55,18103.0,128.45
2017-05-19,694.55,725.0,690.1,704.0,706.15,66253.0,472.19
2017-05-18,696.2,696.25,687.0,687.0,689.55,12125.0,83.91
2017-05-17,702.95,704.35,697.0,699.25,699.65,10514.0,73.65
2017-05-16,694.0,702.9,691.0,702.45,700.05,22399.0,155.87
2017-05-15,690.05,699.8,689.1,695.0,697.2,14738.0,102.37
2017-05-12,694.6,697.0,687.7,690.1,690.8,19406.0,134.13
2017-05-11,697.75,700.75,693.1,694.0,694.6,15150.0,105.34
2017-05-10,693.2,699.0,690.15,698.8,695.35,16331.0,113.52
2017-05-09,697.05,698.9,691.1,697.95,693.7,16812.0,116.69
2017-05-08,700.0,702.0,689.95,702.0,696.9,23309.0,162.17
2017-05-05,696.65,707.95,695.2,697.0,699.0,18296.0,127.85
2017-05-04,698.05,703.0,694.0,700.0,698.5,16029.0,111.86
