Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,272.45,273.2,268.3,268.3,268.85,40814.0,110.51
2018-03-12,279.8,279.8,270.1,271.6,272.2,24257.0,66.46
2018-03-09,272.45,277.35,270.2,275.0,275.15,43224.0,119.05
2018-03-08,274.9,277.8,271.05,271.05,272.1,21533.0,58.8
2018-03-07,278.4,280.7,272.05,273.4,273.95,22972.0,63.35
2018-03-06,284.95,287.0,277.05,279.85,279.8,88562.0,249.83
2018-03-05,293.7,293.7,281.0,282.1,282.85,21490.0,61.03
2018-03-01,288.5,294.0,287.2,289.9,290.4,121069.0,352.13
2018-02-28,279.95,288.0,276.0,285.0,284.8,87477.0,247.86
2018-02-27,280.0,281.7,277.15,280.5,280.05,19874.0,55.6
2018-02-26,280.0,281.0,276.75,279.0,278.2,18146.0,50.59
2018-02-23,277.2,282.9,275.7,278.0,278.6,61219.0,170.99
2018-02-22,275.35,278.45,273.05,273.65,275.3,65764.0,181.41
2018-02-21,280.3,282.05,272.0,277.0,276.85,84896.0,234.79
2018-02-20,282.1,284.95,279.0,280.2,280.55,20868.0,58.84
2018-02-19,289.0,291.95,280.05,283.0,282.7,24859.0,70.85
2018-02-16,293.55,296.8,285.1,286.4,287.7,39648.0,114.8
2018-02-15,292.0,295.05,286.85,293.0,292.45,122343.0,356.85
2018-02-14,289.95,305.0,282.2,288.0,290.3,125888.0,371.01
2018-02-12,284.25,285.25,282.0,284.3,284.35,23675.0,67.27
2018-02-09,281.2,290.0,278.0,281.0,281.8,86246.0,244.71
2018-02-08,281.1,287.35,281.1,282.8,283.25,40635.0,115.4
2018-02-07,283.0,291.8,280.05,280.05,281.45,764739.0,2171.91
2018-02-06,277.0,292.05,277.0,281.9,280.75,427746.0,1226.34
2018-02-05,290.0,299.8,281.05,291.55,292.7,548778.0,1619.17
2018-02-02,303.4,303.4,288.5,299.95,297.2,211027.0,629.59
2018-02-01,299.85,308.2,298.35,303.8,302.25,99305.0,301.48
2018-01-31,299.0,305.6,297.0,300.0,300.3,656082.0,1968.74
2018-01-30,303.4,303.45,299.2,301.1,300.95,86680.0,260.77
2018-01-29,295.2,308.95,295.2,305.05,303.7,127717.0,388.44
2018-01-25,303.95,305.85,299.05,300.1,300.2,201422.0,604.83
2018-01-24,309.0,309.0,295.1,301.1,300.45,233895.0,706.13
2018-01-23,307.5,312.85,303.0,305.4,303.95,111714.0,342.87
2018-01-22,309.7,313.9,303.0,309.2,310.25,374757.0,1158.34
2018-01-19,292.2,312.15,289.0,305.85,306.45,1446961.0,4334.89
