Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,770.0,775.0,763.15,763.15,766.0,12109.0,93.08
2018-03-12,793.95,793.95,758.1,764.05,763.15,18641.0,143.49
2018-03-09,796.0,800.0,777.05,782.95,782.65,8998.0,71.29
2018-03-08,775.0,797.9,771.9,792.85,793.9,15339.0,119.64
2018-03-07,789.95,789.95,768.05,780.0,771.85,12816.0,99.29
2018-03-06,786.15,818.35,780.0,797.85,784.55,14204.0,113.28
2018-03-05,812.1,812.1,787.3,807.9,806.35,9688.0,77.51
2018-03-01,820.0,820.0,802.6,804.5,804.8,19939.0,161.51
2018-02-28,812.95,827.0,801.75,810.0,815.4,12948.0,105.69
2018-02-27,819.95,826.8,806.55,806.55,809.9,8060.0,65.63
2018-02-26,791.95,821.9,791.95,816.0,816.75,24451.0,199.2
2018-02-23,787.0,803.0,784.75,800.0,798.55,15981.0,126.27
2018-02-22,796.95,797.0,784.2,784.2,784.75,14268.0,112.6
2018-02-21,800.0,806.0,792.2,798.85,794.75,5812.0,46.25
2018-02-20,780.0,804.0,778.3,794.2,796.9,73371.0,577.21
2018-02-19,815.0,815.0,780.0,781.45,780.65,17035.0,133.57
2018-02-16,809.0,809.0,790.1,791.0,792.25,10305.0,82.03
2018-02-15,822.55,822.65,792.5,799.0,798.75,19799.0,159.91
2018-02-14,829.8,829.8,814.25,817.0,817.6,13537.0,111.1
2018-02-12,809.0,839.95,809.0,814.3,817.9,293303.0,2403.39
2018-02-09,810.0,846.5,786.0,846.0,805.1,146268.0,1181.72
2018-02-08,794.0,836.0,793.1,829.05,825.7,37165.0,304.45
2018-02-07,795.0,804.0,785.3,794.0,792.05,12906.0,102.25
2018-02-06,799.0,799.0,775.0,781.0,781.45,28709.0,225.0
2018-02-05,828.0,828.0,798.8,815.0,811.2,23377.0,188.99
2018-02-02,845.0,845.0,825.0,830.0,828.5,32092.0,266.76
2018-02-01,846.0,861.95,834.65,835.0,835.8,19738.0,167.21
2018-01-31,847.55,848.0,840.5,843.3,844.8,12050.0,101.71
2018-01-30,852.0,858.35,836.0,848.0,847.55,19243.0,162.92
2018-01-29,888.0,888.0,850.8,853.0,852.7,40793.0,351.84
2018-01-25,878.0,881.95,865.3,872.0,871.35,11131.0,97.4
2018-01-24,892.25,895.0,871.2,879.0,878.55,16845.0,148.24
2018-01-23,884.0,903.3,882.5,889.9,891.0,25098.0,224.21
2018-01-22,869.05,884.0,862.45,880.95,879.6,17179.0,150.82
2018-01-19,870.0,882.0,865.0,865.3,869.0,18133.0,158.37
2018-01-18,893.0,894.35,861.3,866.15,864.95,22752.0,199.59
2018-01-17,881.2,894.85,875.3,885.0,885.6,16987.0,150.16
2018-01-16,899.0,916.85,885.0,889.4,888.35,27066.0,242.09
2018-01-15,914.15,919.95,890.1,898.0,899.25,56286.0,507.25
2018-01-12,919.8,928.0,905.0,915.25,914.15,22819.0,208.74
2018-01-11,911.0,920.05,911.0,913.5,914.0,19607.0,179.37
2018-01-10,928.8,932.5,910.0,917.0,914.45,21810.0,200.35
2018-01-09,920.25,940.0,920.25,927.0,923.35,32380.0,300.84
2018-01-08,927.0,927.0,916.9,918.65,920.15,24088.0,221.88
2018-01-05,910.1,948.0,910.1,926.5,927.95,58793.0,548.7
2018-01-04,912.0,923.0,911.0,921.0,915.55,17600.0,161.52
2018-01-03,909.3,926.8,905.25,912.5,910.8,50344.0,462.41
2018-01-02,922.0,929.0,901.5,905.0,904.65,25225.0,230.17
2018-01-01,915.4,942.7,912.55,920.0,922.95,39871.0,369.4
2017-12-29,908.0,919.5,907.1,913.55,912.55,22174.0,202.83
2017-12-28,906.5,924.0,901.9,906.0,905.05,43588.0,397.5
2017-12-27,918.0,934.9,900.1,902.15,905.25,36935.0,339.5
2017-12-26,925.0,930.75,916.0,916.5,917.85,19083.0,176.3
2017-12-22,901.95,935.0,901.95,917.0,919.2,66260.0,610.53
2017-12-21,898.0,909.9,887.6,900.0,899.3,29329.0,263.46
2017-12-20,890.95,908.0,882.0,882.0,890.0,63534.0,569.63
2017-12-19,850.0,892.0,848.05,878.15,883.25,91170.0,798.48
2017-12-18,845.0,859.0,830.0,849.0,846.55,19193.0,163.13
2017-12-15,848.0,858.45,842.0,842.1,842.6,17154.0,145.44
2017-12-14,855.0,855.0,840.0,845.8,846.0,17188.0,145.28
2017-12-13,847.9,850.0,841.0,849.45,844.75,23378.0,197.83
2017-12-12,860.0,860.0,832.25,839.5,839.85,42846.0,363.22
2017-12-11,879.0,879.95,855.0,856.0,857.8,50519.0,436.07
2017-12-08,880.45,883.8,872.3,873.1,875.75,40165.0,352.99
2017-12-07,877.0,880.45,872.0,876.05,877.6,24281.0,212.97
2017-12-06,878.0,881.8,872.2,875.0,874.6,15289.0,134.08
2017-12-05,882.0,889.95,869.9,874.0,875.45,30074.0,263.83
2017-12-04,918.65,926.0,879.0,879.0,882.2,43089.0,385.69
2017-12-01,925.9,936.0,915.0,915.95,917.2,73541.0,681.74
2017-11-30,916.0,923.0,909.0,915.5,915.85,21364.0,196.08
2017-11-29,927.0,927.0,905.25,911.4,914.25,34604.0,318.68
2017-11-28,912.0,916.75,908.0,910.45,910.6,10467.0,95.49
2017-11-27,916.0,918.8,904.1,910.0,911.65,15293.0,139.38
2017-11-24,904.0,918.0,904.0,914.0,913.35,26557.0,242.81
2017-11-23,910.0,911.65,896.95,900.0,901.65,27405.0,247.73
2017-11-22,910.0,917.0,900.0,901.0,903.8,17651.0,159.68
2017-11-21,912.1,920.05,905.85,908.5,909.2,22809.0,207.93
2017-11-20,910.0,926.8,905.55,912.0,908.95,41569.0,381.45
2017-11-17,919.9,920.8,905.5,908.5,908.8,29679.0,271.21
2017-11-16,900.0,923.0,900.0,903.05,906.05,19829.0,179.82
2017-11-15,923.0,923.0,882.0,891.45,895.4,17189.0,155.64
2017-11-14,898.0,923.75,885.0,914.0,911.2,44031.0,401.23
2017-11-13,906.95,906.95,888.05,892.0,893.55,28541.0,256.51
2017-11-10,944.0,944.0,895.0,899.0,908.2,63018.0,579.34
2017-11-09,947.0,959.9,925.2,934.0,930.6,21300.0,199.35
2017-11-08,950.0,962.8,940.0,946.95,943.4,15037.0,142.89
2017-11-07,967.0,970.8,943.2,948.85,947.1,21778.0,208.56
2017-11-06,960.0,967.8,945.0,953.5,956.15,37265.0,356.64
2017-11-03,976.65,984.95,954.0,960.0,958.55,40138.0,389.21
2017-11-02,992.05,1009.8,971.5,973.0,976.65,54155.0,532.8
2017-11-01,1075.0,1085.6,980.6,983.0,992.05,119688.0,1225.7
2017-10-31,1045.0,1079.0,1016.0,1063.55,1071.15,90997.0,957.35
2017-10-30,965.1,1048.0,965.1,1042.9,1035.4,129658.0,1319.45
2017-10-27,965.0,974.75,961.35,971.4,970.0,11628.0,112.73
2017-10-26,969.95,970.0,960.0,965.0,965.2,9935.0,95.9
2017-10-25,975.0,975.0,957.7,967.25,968.15,8321.0,80.45
2017-10-24,958.25,971.85,951.25,964.0,965.3,14114.0,135.67
2017-10-23,967.5,981.0,958.0,959.75,962.1,11655.0,112.73
2017-10-19,972.0,980.05,970.05,975.0,977.65,10411.0,101.73
2017-10-18,984.0,984.0,960.0,963.0,963.4,8361.0,80.95
2017-10-17,987.9,988.0,971.55,976.0,976.9,11427.0,111.88
2017-10-16,988.0,995.0,976.05,980.0,981.45,48037.0,472.75
2017-10-13,963.2,982.0,963.2,975.0,974.05,43277.0,422.03
2017-10-12,970.0,978.0,958.0,970.0,963.2,22050.0,213.04
2017-10-11,963.0,992.45,956.2,961.0,963.2,79585.0,777.66
2017-10-10,970.0,970.0,955.0,961.1,962.75,33838.0,326.07
2017-10-09,931.05,960.0,931.05,958.35,956.35,48848.0,464.54
2017-10-06,945.0,963.15,925.25,931.0,930.6,56016.0,529.97
2017-10-05,938.0,949.0,928.0,936.0,936.35,17663.0,165.6
2017-10-04,930.0,952.0,928.0,934.0,934.2,39029.0,365.64
2017-10-03,900.0,929.0,896.0,928.0,924.35,80413.0,734.48
2017-09-29,888.0,900.5,880.0,883.25,883.6,23148.0,206.41
2017-09-28,884.0,899.8,880.0,881.25,884.75,22251.0,197.57
2017-09-27,897.0,910.0,880.0,886.1,885.65,17261.0,154.86
2017-09-26,899.8,905.8,890.0,890.1,895.15,14325.0,128.66
2017-09-25,922.2,922.2,880.0,888.0,889.15,44675.0,400.75
2017-09-22,934.8,948.8,915.0,924.7,917.8,35783.0,331.93
2017-09-21,939.45,945.9,923.0,923.75,926.15,31394.0,291.73
2017-09-20,935.05,949.55,931.5,937.0,933.95,29909.0,280.3
2017-09-19,949.0,949.0,930.0,933.0,933.05,20231.0,190.39
2017-09-18,968.1,972.65,938.0,938.8,940.75,27963.0,266.56
2017-09-15,962.9,971.8,941.7,968.0,965.1,71153.0,681.73
2017-09-14,958.4,975.8,944.6,962.0,962.95,72354.0,698.54
2017-09-13,910.0,982.8,908.1,956.0,957.25,277838.0,2664.93
2017-09-12,918.9,920.6,904.55,910.0,907.1,42997.0,392.09
2017-09-11,943.9,943.9,908.7,915.9,912.95,54186.0,497.46
2017-09-08,949.85,954.8,928.9,930.0,932.6,30966.0,292.13
2017-09-07,948.45,950.05,940.55,942.45,945.1,14811.0,140.05
2017-09-06,947.65,947.65,936.15,940.05,941.45,15135.0,142.46
2017-09-05,941.0,955.8,936.05,938.15,940.1,26688.0,252.24
2017-09-04,940.0,969.4,935.95,939.0,943.05,43549.0,414.31
2017-09-01,975.0,990.2,936.3,939.45,944.9,81976.0,789.07
2017-08-31,981.9,987.0,958.05,962.0,963.55,22247.0,215.1
2017-08-30,979.9,998.8,970.1,980.0,981.9,28323.0,279.56
2017-08-29,972.1,994.0,961.0,970.0,966.7,22166.0,216.91
2017-08-28,921.0,997.6,918.5,980.0,983.95,121575.0,1171.97
2017-08-24,925.0,930.0,921.0,927.5,924.6,8295.0,76.76
2017-08-23,924.0,935.6,911.0,921.0,920.85,10363.0,95.54
2017-08-22,945.0,945.0,921.0,921.0,924.1,7030.0,65.13
2017-08-21,950.0,955.75,928.8,929.95,931.2,8304.0,78.1
2017-08-18,950.0,956.8,946.0,947.1,948.2,8418.0,80.0
2017-08-17,960.0,960.0,945.05,948.0,951.5,10769.0,102.43
2017-08-16,960.0,967.75,941.75,946.0,945.75,17628.0,167.81
2017-08-14,990.0,1009.95,945.0,947.0,950.4,20216.0,195.11
2017-08-11,929.0,963.8,903.0,963.8,959.0,45341.0,428.53
2017-08-10,975.0,994.65,950.0,957.75,959.35,16516.0,159.66
2017-08-09,999.2,999.2,980.1,980.1,986.85,10835.0,107.35
2017-08-08,1010.0,1010.0,985.0,991.65,995.0,18521.0,184.94
2017-08-07,985.0,1015.15,985.0,996.0,998.9,38266.0,384.7
2017-08-04,1045.3,1045.3,970.0,981.0,982.15,75142.0,749.55
2017-08-03,1069.9,1069.9,1020.0,1022.0,1024.8,29537.0,305.82
2017-08-02,1115.05,1115.05,1051.25,1053.0,1054.25,95146.0,1013.88
2017-08-01,1121.05,1135.0,1113.0,1113.65,1116.65,13230.0,148.46
2017-07-31,1143.0,1145.0,1119.9,1122.05,1125.9,11286.0,127.86
2017-07-28,1150.0,1150.0,1131.1,1137.0,1134.15,8014.0,91.3
2017-07-27,1153.0,1160.0,1136.1,1137.0,1139.6,13030.0,149.67
2017-07-26,1140.0,1153.0,1133.0,1147.0,1147.05,15263.0,174.84
2017-07-25,1150.0,1150.0,1127.65,1129.0,1132.25,14977.0,170.33
2017-07-24,1162.0,1162.0,1136.5,1140.0,1139.55,15782.0,181.02
2017-07-21,1182.0,1182.0,1147.85,1148.55,1150.95,17821.0,206.21
2017-07-20,1185.0,1186.2,1169.0,1170.0,1171.85,12209.0,143.91
2017-07-19,1187.0,1187.0,1174.0,1176.15,1176.5,12701.0,149.79
2017-07-18,1200.0,1200.95,1175.0,1176.0,1178.0,17775.0,210.73
2017-07-17,1200.0,1204.45,1188.0,1188.2,1190.95,7059.0,84.34
2017-07-14,1191.95,1201.0,1181.0,1192.0,1198.95,13599.0,162.71
2017-07-13,1209.25,1210.0,1188.0,1190.6,1193.1,8174.0,97.78
2017-07-12,1180.95,1212.0,1180.95,1199.85,1200.95,15439.0,185.16
2017-07-11,1198.0,1205.8,1180.0,1187.0,1185.95,13032.0,155.4
2017-07-10,1190.0,1210.95,1190.0,1194.45,1193.75,1951.0,23.35
2017-07-07,1200.0,1200.1,1187.05,1190.0,1190.35,14417.0,171.73
2017-07-06,1215.0,1217.0,1197.7,1202.5,1201.15,10889.0,131.04
2017-07-05,1211.0,1215.0,1195.0,1201.0,1201.75,12575.0,151.52
2017-07-04,1212.85,1215.05,1201.0,1205.0,1205.3,7238.0,87.42
2017-07-03,1219.9,1219.9,1208.0,1211.0,1212.3,13407.0,162.71
2017-06-30,1221.0,1243.2,1205.0,1213.0,1208.25,11710.0,142.54
2017-06-29,1240.3,1255.0,1230.2,1233.3,1235.5,8680.0,108.06
2017-06-28,1235.0,1243.95,1221.0,1240.3,1238.5,11769.0,145.22
2017-06-27,1223.0,1250.0,1223.0,1235.0,1232.4,14948.0,184.29
2017-06-23,1238.0,1252.0,1231.05,1238.0,1235.95,19820.0,245.15
2017-06-22,1221.0,1249.0,1221.0,1240.0,1240.7,45186.0,560.33
2017-06-21,1200.0,1230.0,1198.1,1225.0,1221.1,16284.0,198.22
2017-06-20,1229.3,1232.0,1197.0,1200.0,1205.25,16560.0,201.23
2017-06-19,1225.0,1244.0,1209.0,1228.0,1228.55,28970.0,355.65
2017-06-16,1199.85,1228.0,1199.85,1220.0,1220.4,12804.0,155.39
2017-06-15,1219.3,1219.3,1189.95,1199.0,1198.65,15697.0,188.57
2017-06-14,1180.0,1212.0,1160.0,1210.0,1206.05,24948.0,298.36
2017-06-13,1186.05,1194.0,1180.0,1180.0,1182.5,8976.0,106.34
2017-06-12,1187.0,1205.0,1182.05,1184.0,1186.05,10967.0,130.5
2017-06-09,1190.1,1205.0,1185.0,1187.95,1187.25,11482.0,137.0
2017-06-08,1202.05,1213.0,1188.0,1190.0,1190.6,14068.0,168.72
2017-06-07,1195.2,1225.0,1195.2,1197.1,1199.5,13211.0,159.78
2017-06-06,1230.0,1237.05,1193.0,1203.9,1197.85,23559.0,284.3
2017-06-05,1230.1,1242.5,1219.1,1220.0,1226.75,18868.0,232.15
2017-06-02,1241.0,1255.0,1231.05,1242.0,1237.2,26452.0,328.18
2017-06-01,1274.8,1275.15,1225.0,1259.5,1257.85,59421.0,741.11
2017-05-31,1274.0,1290.0,1262.2,1270.0,1266.55,13899.0,177.18
2017-05-30,1264.6,1270.0,1248.7,1260.0,1255.25,7431.0,93.39
2017-05-29,1252.9,1300.0,1252.9,1275.25,1274.05,12050.0,153.89
2017-05-26,1238.8,1281.0,1233.8,1276.5,1278.5,24245.0,307.16
2017-05-25,1256.0,1259.45,1220.0,1225.05,1228.35,20012.0,247.4
