Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,82.3,83.75,80.75,83.25,82.25,2487582.0,2048.73
2018-03-12,78.8,82.4,78.05,82.4,81.65,1522268.0,1221.68
2018-03-09,79.0,79.85,77.25,77.6,77.85,1060683.0,830.71
2018-03-08,79.9,80.1,76.85,78.55,78.8,1185275.0,928.78
2018-03-07,79.6,81.35,78.6,78.9,79.1,1381848.0,1102.72
2018-03-06,83.1,84.4,79.6,79.65,80.7,903359.0,744.26
2018-03-05,83.0,83.25,81.15,82.55,82.65,1532916.0,1261.67
2018-03-01,84.7,85.4,83.25,83.35,83.65,1005585.0,845.63
2018-02-28,82.05,85.95,81.4,84.95,85.0,1861877.0,1573.33
2018-02-27,83.9,84.9,81.8,83.9,84.2,2176816.0,1809.13
2018-02-26,82.2,84.3,81.6,83.25,83.7,1280305.0,1064.7
2018-02-23,78.5,82.7,78.2,82.0,81.7,1734809.0,1399.15
2018-02-22,76.9,79.15,76.8,77.85,77.55,1368109.0,1063.4
2018-02-21,79.9,80.8,76.65,78.0,77.7,1035245.0,812.31
2018-02-20,78.3,80.9,78.1,80.0,79.7,998128.0,794.02
2018-02-19,80.65,80.8,76.95,78.6,78.25,1648178.0,1296.22
2018-02-16,84.05,84.85,80.5,81.2,81.0,1905074.0,1569.14
2018-02-15,83.3,84.8,82.55,84.0,83.85,1676090.0,1404.72
2018-02-14,84.0,85.5,82.55,82.55,83.2,1473701.0,1243.07
2018-02-12,82.35,84.7,82.15,83.8,83.5,1608955.0,1346.47
2018-02-09,79.0,82.85,78.65,82.0,81.75,1947188.0,1577.87
2018-02-08,79.9,82.9,78.6,82.3,82.2,2798440.0,2271.92
2018-02-07,80.0,80.2,77.5,77.85,78.05,3261887.0,2556.36
2018-02-06,75.95,77.5,72.5,76.5,76.25,6303757.0,4725.0
2018-02-05,81.8,82.6,75.2,80.95,80.15,7703524.0,6085.61
2018-02-02,93.0,93.9,84.1,84.65,85.2,3785936.0,3331.11
2018-02-01,96.5,97.4,92.55,95.7,95.75,1379768.0,1323.5
2018-01-31,96.2,97.2,94.55,95.6,95.8,1329617.0,1276.28
2018-01-30,98.5,98.5,96.0,96.5,96.45,938590.0,912.52
2018-01-29,97.8,99.7,97.5,97.7,98.15,1152251.0,1134.79
2018-01-25,99.8,100.7,97.1,97.5,97.85,1889524.0,1867.11
2018-01-24,101.95,101.95,99.25,99.85,99.7,1219751.0,1221.28
2018-01-23,100.75,102.8,100.1,101.7,101.95,2302833.0,2341.58
2018-01-22,100.8,101.3,99.25,100.7,100.75,1627345.0,1632.05
2018-01-19,99.75,101.5,98.55,100.25,100.55,1715063.0,1717.63
2018-01-18,106.0,107.0,98.2,99.6,99.5,5968721.0,6132.27
2018-01-17,102.0,103.0,99.0,102.7,102.55,2812828.0,2859.11
2018-01-16,107.4,109.2,100.4,101.45,101.25,3296492.0,3457.86
2018-01-15,108.2,109.05,106.2,106.45,106.5,1125832.0,1210.93
2018-01-12,108.6,109.6,105.2,106.9,107.1,1880947.0,2027.48
2018-01-11,105.5,109.0,104.4,108.2,108.15,3254376.0,3498.05
2018-01-10,106.95,107.2,104.05,105.5,105.5,1645951.0,1739.04
2018-01-09,105.9,107.9,104.45,106.35,106.55,7443775.0,7918.26
2018-01-08,98.2,105.0,98.2,104.6,102.7,4489805.0,4542.4
2018-01-05,100.9,101.0,97.0,98.15,98.0,5327175.0,5238.58
2018-01-04,99.3,100.7,98.45,99.6,99.8,2935148.0,2921.5
2018-01-03,99.3,99.75,98.0,98.35,98.35,1411266.0,1394.37
2018-01-02,100.0,100.8,98.0,99.0,98.85,954698.0,946.9
2018-01-01,100.0,102.0,99.2,99.85,99.8,1697400.0,1712.38
2017-12-29,99.5,100.7,99.25,99.75,99.9,1131553.0,1131.47
2017-12-28,99.95,101.5,98.3,98.85,98.8,1587204.0,1584.59
2017-12-27,101.5,101.5,98.85,99.4,99.7,1455408.0,1460.53
2017-12-26,101.4,101.85,100.35,100.8,100.8,1307718.0,1322.2
2017-12-22,101.25,102.5,100.4,100.9,101.05,1923568.0,1949.02
2017-12-21,97.45,101.45,97.15,100.4,100.35,2839187.0,2840.04
2017-12-20,98.0,99.2,96.8,97.3,97.4,1728454.0,1695.56
2017-12-19,97.0,98.3,96.15,97.5,97.1,908686.0,883.51
2017-12-18,97.4,98.55,93.0,96.45,96.55,1107930.0,1073.56
2017-12-15,98.0,98.75,97.0,97.4,97.35,687527.0,671.92
