ADANIPORTS:35.735246590733816:Days Used:316
AMBUJACEM:5.403885505541985:Days Used:288
ASIANPAINT:8.371988727467167:Days Used:305
AUROPHARMA:4.494636517692795:Days Used:305
AXISBANK:54.98919920179879:Days Used:297
BAJAJ_AUTO:-2.1563898272891233:Days Used:287
BAJFINANCE:19.968804195666134:Days Used:356
BPCL:23.560323949996985:Days Used:279
BHARTIARTL:4.336179934540355:Days Used:238
INFRATEL:-28.492374451343334:Days Used:200
BOSCHLTD:3.8884893391191127:Days Used:238
CIPLA:-9.478376057433811:Days Used:278
COALINDIA:18.19092367117515:Days Used:230
DRREDDY:19.114646777232007:Days Used:293
EICHERMOT:46.91284795634589:Days Used:294
GAIL:1.6577764762568725:Days Used:261
HCLTECH:-29.631928015587604:Days Used:266
HDFCBANK:19.73992383457687:Days Used:335
HEROMOTOCO:35.81615550038178:Days Used:258
HINDALCO:21.705739791031196:Days Used:263
HINDPETRO:22.152344256035544:Days Used:318
HINDUNILVR:0.48757088067310633:Days Used:284
HDFC:5.938875926287681:Days Used:308
ITC:-11.080088332813736:Days Used:264
ICICIBANK:21.361994426035825:Days Used:287
IBULHSGFIN:23.906219361372514:Days Used:302
IOC:3.418947517819397:Days Used:258
INDUSINDBK:20.640711643458268:Days Used:370
INFY:-16.749831569810453:Days Used:253
KOTAKBANK:13.949238293167882:Days Used:292
LT:18.883643648394184:Days Used:296
LUPIN:18.041105401076088:Days Used:289
MM:14.809185928470933:Days Used:276
MARUTI:27.432277028477927:Days Used:398
NTPC:-3.9033923479505934:Days Used:225
ONGC:6.26928736716552:Days Used:203
POWERGRID:29.591381194808207:Days Used:234
RELIANCE:32.50503436186295:Days Used:287
SBIN:33.132556013144324:Days Used:261
SUNPHARMA:23.511370038642614:Days Used:260
TCS:8.972976593191193:Days Used:267
TATAMOTORS:-7.845721776083373:Days Used:272
TATASTEEL:16.932552838968924:Days Used:299
TECHM:1.6876853857108691:Days Used:267
UPL:30.162585306465754:Days Used:312
ULTRACEMCO:20.970151053171886:Days Used:312
VEDL:8.115573282553584:Days Used:217
WIPRO:-13.838053874064087:Days Used:268
YESBANK:3.690518632249044:Days Used:376
ZEEL:15.451058975862757:Days Used:277
