Company Name,Industry,Symbol,Series,ISIN Code
8K Miles Soft Services Ltd.,IT,8KMILES,EQ,INE650K01021
APL Apollo Tubes Ltd.,METALS,APLAPOLLO,EQ,INE702C01019
Aarti Industries Ltd.,CHEMICALS,AARTIIND,EQ,INE769A01020
Aban Offshore Ltd.,ENERGY,ABAN,EQ,INE421A01028
Advanced Enzyme Tech Ltd.,CONSUMER GOODS,ADVENZYMES,EQ,INE837H01020
Aegis Logistics Ltd.,ENERGY,AEGISCHEM,EQ,INE208C01025
Ahluwalia Contracts (India) Ltd.,CONSTRUCTION,AHLUCONT,EQ,INE758C01029
Allahabad Bank,FINANCIAL SERVICES,ALBK,EQ,INE428A01015
Allcargo Logistics Ltd.,SERVICES,ALLCARGO,EQ,INE418H01029
Andhra Bank,FINANCIAL SERVICES,ANDHRABANK,EQ,INE434A01013
Apar Industries Ltd.,INDUSTRIAL MANUFACTURING,APARINDS,EQ,INE372A01015
Ashoka Buildcon Ltd.,CONSTRUCTION,ASHOKA,EQ,INE442H01029
AstraZenca Pharma India Ltd.,PHARMA,ASTRAZEN,EQ,INE203A01020
Astral Poly Technik Ltd.,INDUSTRIAL MANUFACTURING,ASTRAL,EQ,INE006I01046
Atul Ltd.,CHEMICALS,ATUL,EQ,INE100A01010
Avanti Feeds Ltd.,CONSUMER GOODS,AVANTIFEED,EQ,INE871C01020
BASF India Ltd.,CHEMICALS,BASF,EQ,INE373A01013
BEML Ltd.,INDUSTRIAL MANUFACTURING,BEML,EQ,INE258A01016
BF Utilities Ltd.,CONSTRUCTION,BFUTILITIE,EQ,INE243D01012
BGR Energy Systems Ltd,CONSTRUCTION,BGRENERGY,EQ,INE661I01014
BSE Ltd.,FINANCIAL SERVICES,BSE,EQ,INE118H01025
Bajaj Corp Ltd.,CONSUMER GOODS,BAJAJCORP,EQ,INE933K01021
Bajaj Electricals Ltd,CONSUMER GOODS,BAJAJELEC,EQ,INE193E01025
Bajaj Hindusthan Sugar Ltd.,CONSUMER GOODS,BAJAJHIND,EQ,INE306A01021
Ballarpur Industries Ltd.,PAPER,BALLARPUR,EQ,INE294A01037
Balmer Lawrie & Co. Ltd.,SERVICES,BALMLAWRIE,EQ,INE164A01016
Balrampur Chini Mills Ltd.,CONSUMER GOODS,BALRAMCHIN,EQ,INE119A01028
Bhushan Steel Ltd.,METALS,BHUSANSTL,EQ,INE824B01021
Birla Corporation Ltd.,CEMENT & CEMENT PRODUCTS,BIRLACORPN,EQ,INE340A01012
Bliss GVS Pharma Ltd.,PHARMA,BLISSGVS,EQ,INE416D01022
Blue Star Ltd.,CONSUMER GOODS,BLUESTARCO,EQ,INE472A01039
Bombay Burmah Trading Corporation Ltd.,CONSUMER GOODS,BBTC,EQ,INE050A01025
Bombay Dyeing & Manufacturing Co. Ltd.,TEXTILES,BOMDYEING,EQ,INE032A01023
Bombay Rayon Fashions Ltd.,TEXTILES,BRFL,EQ,INE589G01011
Brigade Enterprises Ltd.,CONSTRUCTION,BRIGADE,EQ,INE791I01019
CARE Ratings Ltd.,FINANCIAL SERVICES,CARERATING,EQ,INE752H01013
CCL Products (I) Ltd.,CONSUMER GOODS,CCL,EQ,INE421D01022
CG Power and Industrial Solutions Ltd.,INDUSTRIAL MANUFACTURING,CGPOWER,EQ,INE067A01029
Can Fin Homes Ltd.,FINANCIAL SERVICES,CANFINHOME,EQ,INE477A01020
Capital First Ltd.,FINANCIAL SERVICES,CAPF,EQ,INE688I01017
Caplin Point Laboratories Ltd.,PHARMA,CAPLIPOINT,EQ,INE475E01026
Carborundum Universal Ltd.,INDUSTRIAL MANUFACTURING,CARBORUNIV,EQ,INE120A01034
